Brand,video-title,account,date,Views,Likes,ER,duration,sentiment-title,video-promoted
Klairs,Vừa sống xanh mà còn có quà đem về 🫶💖  #klairs #klairsvietnam #LevelupTraiDat #event,@dinne.bae,4-Nov,1600000,403,0.00%,0:00:58,Positive,Promoted
Klairs,"♻️Chiến dịch vì môi trường 𝐔𝐬𝐞 𝐖𝐞𝐥𝐥, 𝐑𝐞𝐮𝐬𝐞 𝐖𝐞𝐥𝐥 đã chính thức quay trở lại với diện mạo mới – năng lượng...",@klairsvietnam,24-Oct,296000,44,0.00%,0:00:00,Positive,Promoted
Klairs,SẠCH SÂU SÁNG MỊN – ĐỦ XINH CHO MỌI SKIN˚.🎀⋆ ⚠️ Cấp báooo! Da bít tắc  – Bụi mịn tích tụ – Nhiều mụn đầu đen? Ngày dài ...,@klairsvietnam,24-Oct,261600,33,0.00%,0:00:24,Positive,Promoted
Klairs,Loại nào cũm mê elm chọn cả 3 ☺️😚 #klairsvietnam #klairs #tonerklairs #CerealCerdik,@klairsvietnam,5-Nov,251100,88,0.00%,0:01:38,Positive,Promoted
Klairs,Các Klairs Fan ơi tranh thủ nhanh chân đến cửa hàng gần nhất nhéee #klairsvietnam #klairs #leveluptraidat,@klairsvietnam,5-Nov,244200,59,0.00%,0:00:43,Neutral,Promoted
Klairs,Kem dưỡng must-have mùa đông năm nayyy #klairsvietnam #kemxanh10s #klairs,@klairsvietnam,4-Nov,234900,38,0.00%,0:00:44,Positive,Promoted
Klairs,✨DA CĂNG BÓNG TỨC THÌ – MAKEUP CHUẨN GLOWY⚡ Da khô – nền mốc – makeup xuống tone giữa chừng? 🚨 Đã đến lúc “nâng cấp” sk...,@klairsvietnam,21-Oct,217800,26,0.00%,0:00:45,Positive,Promoted
Klairs,Klairs đã có mặt tại Sammi Shop rùi các mom ơiii  @SammiShop Offical  #klairs #klairsvietnam #vitaminline #noaltoe #xuhu...,@noaltoe,20-Oct,143500,41,0.00%,0:01:16,Neutral,Promoted
Klairs,"👉Da sau treatment, kích ứng thì nhớ lựa chọn sản phẩm thật kỹ nha mấy bà #klairs #klairsvietnam #phuchoi",@klairsvietnam,28-Oct,141000,26,0.00%,0:00:54,Neutral,Promoted
Klairs,"Vì 𝐌𝐢𝐝𝐧𝐢𝐠𝐡𝐭 𝐂𝐫𝐞𝐚𝐦 không chỉ cấp ẩm hiệu quả, mà còn phục hồi nhiều tình trạng nhạy cảm khác nhau  ► Da có h...",@klairsvietnam,21-Oct,133000,44,0.00%,0:00:39,Neutral,Promoted
Klairs,Deal kem dưỡng  mấy bà ơiii 🫂🫂🫂#klairsvietnam #klairs #richmoistcream,@klairsvietnam,9-Nov,131500,24,0.00%,0:00:41,Neutral,Promoted
Klairs,Đã tìm ra toner chân ái cho làn da thâm sạm xỉn màu của tui 🫶🙏 #klairsvietnam #klairs #klairstonersangda,@klairsvietnam,26-Oct,128900,49,0.00%,0:01:00,Positive,Promoted
Klairs,"Vừa mask đất sét, vừa sữa rửa mặt mà chỉ tầm 2 chăm cành thôi ý trừi ưii 🫶🫶🫨 #klairsvietnam #klairs #Đủxinhchomọiskin...",@klairsvietnam,6-Nov,125600,27,0.00%,0:00:58,Positive,Promoted
Klairs,"Cấp ẩm sâu đa tầng, da khỏe từ bên trong. Cấp nước ngay cho da nhé! #klairs #klairsvietnam #soothingserum",@klairsvietnam,21-Oct,120300,18,0.00%,0:00:35,Positive,Promoted
Klairs,"Da khô bong tróc, lỗ chân lông bí tắc, mụn đầu đen chi chít?​  👉 Đã có Klairs Freshly Juiced Vitamin Mask Cleanser – 1 ...",@klairsvietnam,20-Oct,117600,26,0.00%,0:00:50,Neutral,Promoted
Klairs,"Kết quả thực tế của người Việt Nam sau khi sử dụng Tinh chất xanh EGF HA 💙 Da giảm mụn rõ rệt, ẩm mịn và đều màu hơn ch...",@klairs_vn,11-Nov,19400,7,0.00%,0:00:00,Positive,Promoted
Klairs,Hỗ trợ chữa lành những tổn thương trên da 🥰 #klairsvietnam #klairs #kemduongam #tiktoklive #livehighlights,@klairsvietnam,13-Nov,18800,6,0.00%,0:00:58,Positive,Promoted
Klairs,Kem dưỡng Midnight phục hồi 👏🏻 #livehighlights #tiktoklive #klairsvietnam #kemduongam #midnight,@klairsvietnam,10-Nov,8700,3,0.00%,0:00:46,Positive,Promoted
Klairs,"Căng mướt tức thì với toner pads Dear, Klairs ✨ #tiktoklive #livehighlights #klairs #klairsvietnam #tonerpad",@klairsvietnam,10-Nov,6600,3,0.00%,0:01:22,Positive,Promoted
Klairs,"Hỗ trợ sáng da, mờ thâm ✨ #klairsvietnam #klairs #serum #tiktoklive #livehighlights",@klairsvietnam,13-Nov,2700,1,0.00%,0:00:30,Positive,Promoted
Klairs,Toner Klairs  #klairs #klairsvietnam #toner #tonerklairs,@trangskincare83,7-Nov,311,0,0.00%,0:00:34,Neutral,Promoted
Klairs,"Toner gì mà đẫm lệ mà nó nũng nịuuu, cứu tinh của tui💗💗 #klairs #klairsvietnam",@klairsvietnam,27-Oct,156900,95,0.10%,0:01:15,Positive,Promoted
Klairs,Combo tui nguyện mua suốt đời ⭐️⭐️⭐️⭐️⭐️ #klairs #klairsvietnam,@klairsvietnam,25-Oct,143800,80,0.10%,0:01:03,Positive,Promoted
Klairs,"⚡Cấp ẩm 5s – Skin bật sáng tức thì!⚡ ✨ Một lần “login” Unscented Toner, buff ẩm tận 20 tầng lớp sừng ✨ Da căng mịn, skin...",@klairsvietnam,22-Oct,117200,67,0.10%,0:00:46,Positive,Promoted
Klairs,nhanh tay các bác oiii  #klairs #klairsvietnam #LevelupTraiDat,@tinasoone_,3-Nov,110800,93,0.10%,0:00:44,Positive,Promoted
Klairs,Xách xe lên đi đổi quà với Klairs ngay mấy bà iu ơiii🥳 #klairs #klairsvietnam #LevelupTraiDat #phlyneee,@phlyneee,2-Nov,102200,59,0.10%,0:00:58,Positive,Promoted
Klairs,Nhanh chân dinh quà về thôi các bồ ơi🥹 siêu hời luôn í #klairs #klairsvietnam #LevelupTraiDat  #xuhuong,@ngaphamthuy_,4-Nov,53400,30,0.10%,0:00:56,Positive,Promoted
Klairs,Các mom xem và khen em toner này giúp sốp 🙏⭐️⭐️ #tonerklairs #klairs #klairsvietnam #tonerquocdanklairs,@klairsvietnam,1-Nov,29900,26,0.10%,0:00:50,Positive,Promoted
Klairs,✨Dear Klairs Global New Shop Open✨ Mừng khai trương shop mới🎉 Giảm đến 50% + quà tặng trị giá 350K chỉ trong tháng này�...,@klairs_vn,5-Nov,18400,15,0.10%,0:00:10,Positive,Promoted
Klairs,"Toner PDRN sáng da, mờ thâm. Kết cấu Essence Toner giàu dưỡng chất 💖 #tiktoklive #livehighlights #klairsvietnam #klairs...",@klairsvietnam,10-Nov,13000,8,0.10%,0:00:32,Positive,Promoted
Klairs,"Cấp ẩm tức thì, đủ xinh cho mọi skin 💜 #klairsvietnam #toner #klairs #tiktoklive #livehighlights",@klairsvietnam,11-Nov,7800,7,0.10%,0:01:29,Positive,Promoted
Klairs,"Da ẩm mịn, hết mụn luôn 😍 ""Tinh chất xanh EGF HA"" phù hợp với mọi loại da 💧 Cấp ẩm sâu + giảm viêm siêu đỉnh 🔥 #Klair...",@klairs_vn,11-Nov,5900,6,0.10%,0:00:30,Positive,Promoted
Klairs,Kem dưỡng phục hồi Midnight ✨#tiktoklive #livehighlights #klairsvietnam #kemduongam,@klairsvietnam,13-Nov,5400,5,0.10%,0:00:30,Positive,Promoted
Klairs,Serum Rich Moist cấp ẩm chuyên sâu cho da thường khô 💯💯💯#tiktoklive #livehighlights #klairsvietnam #serum,@klairsvietnam,10-Nov,4000,2,0.10%,0:02:04,Positive,Promoted
Klairs,"2xx để có làn da sáng mịn, thử ngay #klairs #klairsvietnam #tonerpdrn",@klairsvietnam,7-Nov,3300,2,0.10%,0:01:18,Positive,Promoted
Klairs,Klairs mua 1 tặng 4 độc quyền trên Tiktokshop #klairs #klairsvietnam #tonerpdrn,@klairsvietnam,7-Nov,3000,4,0.10%,0:00:55,Neutral,Promoted
Klairs,"Qué đã mấy bà ơi, TONER CẤP ẨM QUỐC DÂN mua 1 tặng 1 #klairs #klairsvietnam #tonerquocdan",@klairsvietnam,8-Nov,2700,2,0.10%,0:00:19,Positive,Promoted
Klairs,Cấp ẩm chuyên sâu cho làn da thường khô 💆🏻‍♀️ #klairsvietnam #klairs #kemduongam #tiktoklive #livehighlights,@klairsvietnam,13-Nov,2400,2,0.10%,0:00:33,Negative,Promoted
Klairs,Cùng Dear Klair Level Up Trái Đất và nhận quà xịn nha các nàng❤️ #klairs #klairsvietnam #leveluptraidat,@thuycham_05,3-Nov,232300,436,0.20%,0:00:47,Positive,Promoted
Klairs,#xuhuong #viral #tonerklair #klairs #klairsvietnam,@changiusale,7-Nov,28600,63,0.20%,0:00:44,Neutral,Promoted
Klairs,Serum vitamin C nhẹ nhàng cho da nhạy cảm #klairsvietnam #klairs #VitaminCChoDaNhayCam #5%VitaminCTinhKhiet,@beenalth,5-Nov,25200,51,0.20%,0:01:28,Neutral,Promoted
Klairs,#klairs #klairsvietnam #xuhuong #klairsvn #viral,@changiusale,8-Nov,9200,20,0.20%,0:00:45,Neutral,Promoted
Klairs,"Sữa rửa mặt vừa dùng như mặt nạ đất sét, 2 công dụng trong 1 sản phẩm, giá lại siêu hời #klairs #klairsvietnam #cleanser...",@klairsvietnam,7-Nov,7600,13,0.20%,0:00:37,Positive,Promoted
Klairs,Dành thanh xuân để làm đẹp 🥰 tui thấy là mình nên chăm sóc da lành tính vẫn an toàn hơn đối với 1 số bạn da nhạy cảm ó ...,@nhu__cherry,9-Nov,6900,7,0.20%,0:00:51,Positive,Promoted
Klairs,"💛 Viên nang vitamin tan chảy trên da, cho làn da căng sáng, rạng rỡ mỗi ngày ✨ ✨Dear Klairs Global New Shop Open✨ Mừng ...",@klairs_vn,10-Nov,5900,8,0.20%,0:00:33,Positive,Promoted
Klairs,Mãi là fan của Klairs hehe #muathuxaithiet #klairs #klairsvietnam #Suaruamatdatset #Klairsmaskcleanser,@muathuxaithiet01,6-Nov,4600,10,0.20%,0:00:55,Positive,Promoted
Klairs,Toner PDRN thuần chay sáng da ✨ #klairsvietnam #toner #klairs #tiktoklive #livehighlights,@klairsvietnam,11-Nov,3700,6,0.20%,0:00:30,Positive,Promoted
