Brand,Branded hashtag,Videos,Views,Likes,Comments,Shares,Duration,ER,video-promoted,Hashtags
"Dear, Klairs",klairsvietnam,Khám Phá Sản Phẩm Klairs Mới Nhất Và Quà Tặng | TikTok,"1,600,000",403,22,26,0:00:58,0.0%,Promoted,#klairs #klairsvietnam #event #leveluptraidat
"Dear, Klairs",klairsvietnam,Sai lầm cơ bản về chăm sóc da khô và cách khắc phục | TikTok,"856,200","4,500",106,74,0:01:50,0.5%,Promoted,#klairs #klairsvietnam #trending #vitaminline #tonerpdrn
"Dear, Klairs",klairsvietnam,So sánh Toner Sáng Da vs 8000 Viên Nang Thuần Chay | TikTok,"544,500","5,000",135,304,0:00:55,1.0%,Promoted,#klairs #klairsvietnam #tonersangdapdrn #klairstonersangda #review
"Dear, Klairs",klairsvietnam,nhanh tay các bác oiii #klairs #klairsvietnam #LevelupTraiDat | TikTok,"508,500",155,11,13,0:00:44,0.0%,Promoted,#klairs #klairsvietnam #leveluptraidat
"Dear, Klairs",klairsvietnam,Khám Phá Toner Klairs: PDRN và Lợi Ích Đáng Ngạc Nhiên | TikTok,"488,400","1,400",8,4,0:00:42,0.3%,Promoted,#chenguyenquynhchau #klairsvietnam #klairs #TonerSangdaPDRN #KlairsTonerSangda
Round Lab,roundlabvietnam,Sao mấy hãng KCN của Hàn nâng tone đẹp dữ vậy mọi người ơiii 😳😳 Kiểu... | TikTok,"205,500","1,800",57,162,0:01:06,1.0%,Organic,#ReviewLamDep #SkincareRoutine #roundlabvietnam #kemchongnang
Round Lab,roundlabvietnam,Kem Chống Nắng: Cách Chọn và Sử Dụng Hiệu Quả | TikTok,"37,400","2,000",13,27,0:01:35,5.4%,Organic,#veebong #fyp #xuhuong #vtvcab #RoundLabVietNam
Round Lab,roundlabvietnam,Dầu Tẩy Trang Doctor RoundLab: Giải Pháp Làm Sạch Sâu | TikTok,"10,900",400,2,4,0:01:18,3.7%,Organic,#dautaytrang #roundlab #roundlabvietnam #lamsachsau
Round Lab,roundlabvietnam,Sữa rửa mặt chân ái cho da khô nè #RoundLabSummerCamp #RoundLabVietNam... | TikTok,"4,200",36,19,5,0:00:32,1.4%,Promoted,#suaruamat #danhaycam #kbeautyskincare #roundlabvietnam #roundlabsummercamp
Round Lab,roundlabvietnam,"Thêm một em sữa rửa mặt rất ổn áp dành cho mấy bà da dầu mụn nha, em n... | TikTok","1,300",279,25,238,0:00:38,40.4%,Organic,#GocLamDep #roundlab #SkinCare #cleansing #roundlabvietnam
Torriden,torridenvn,Son Dưỡng Torriden: Bí Quyết Làm Đẹp Môi Hồng | TikTok,"484,900","22,100",137,662,0:01:32,4.7%,Organic,#ceci #phuongganh #lipessence #torridenvn
Torriden,torridenvn,Mom nào da nhăn nheo có dấu hiệu lão hoá rồi thì vô đây tui chỉ cho nh... | TikTok,"203,600","8,500",73,372,0:02:22,4.4%,Organic,#torridenvn #lipessence #kemduong #sanchacda #skincare
Torriden,torridenvn,Serum Hồng Torriden: Giải Pháp Cho Lỗ Chân Lông | TikTok,"132,200","14,300",50,183,0:01:04,11.0%,Promoted,#NewArrivalWeek #ThayLaThichPickLaTrend #torridenvn
Torriden,torridenvn,Serum Torriden: Giải pháp se lỗ chân lông hiệu quả | TikTok,"131,500",996,11,12,0:01:03,0.8%,Promoted,#skincare #newarrivalweek #thaylathichpicklatrend #torridenvn
Torriden,torridenvn,Mỗi tuần một quán ăn mới và tuần này lại đi ăn đồ Hàn nhon nhonn ✨🤪 #... | foodreview | TikTok,"131,000","4,500",21,892,0:01:39,4.2%,Promoted,#kemduong #lipessence #vtmgr #emlyreview #torridenvn
